"Ticker";"Name";"Type";"Amount";"Value in USD";"Value in BTC";"% of total";"Price in BTC";"Price in USD";"Trend 1h in %";"Trend 24h in %";"Trend 7d in %";"Trend 30d in %"
"AVAX";"Avalanche";"Coin";"36.48982281";"850.63";"0.00774549";"0.20";"0.000212264425";"23.31140345";"-0.12";"-3.24";"-0.09";"-9.91"
"CFG";"Centrifuge";"Coin";"2246.59574937";"806.71";"0.00734557";"0.19";"0.000003269644";"0.35908038";"-0.99";"4.54";"31.48";"37.56"
"VET";"VeChain";"Coin";"33098.87067224";"800.64";"0.00729027";"0.19";"0.000000220257";"0.02418917";"-0.32";"-7.09";"1.71";"-7.58"
"PAXG";"PAX Gold";"Coin";"0.23448001";"790.31";"0.00719624";"0.19";"0.030690215183";"3370.47523623";"0.14";"0.28";"0.88";"0.53"
"XTZ";"Tezos";"Coin";"946.71258178";"738.50";"0.00672446";"0.18";"0.000007102960";"0.78006461";"-0.56";"-2.33";"-4.73";"-12.75"
"EGLD3";"MultiversX";"Coin";"48.82000000";"704.80";"0.00641761";"0.17";"0.000131454497";"14.43665755";"-0.02";"-2.68";"-3.45";"-14.53"
"OXT";"Orchid";"Coin";"13261.85193177";"693.48";"0.00631455";"0.16";"0.000000476144";"0.05229131";"-0.24";"-1.56";"-3.81";"-14.56"
"USTC";"TerraClassicUSD";"Coin";"52327.58777065";"689.52";"0.00627849";"0.16";"0.000000119984";"0.01317694";"-0.26";"-2.17";"-5.16";"-9.76"
"CRO";"Cronos";"Coin";"4273.54043175";"688.28";"0.00626718";"0.16";"0.000001466509";"0.16105564";"1.45";"3.17";"11.15";"11.94"
"CAKE";"PancakeSwap";"Coin";"252.65462985";"652.80";"0.00594410";"0.15";"0.000023526591";"2.58374833";"-0.19";"-1.12";"-3.35";"-16.10"
"PENGU7";"Pudgy Penguins";"Coin";"19933.00046200";"605.90";"0.00551711";"0.14";"0.000000276783";"0.03039699";"-1.17";"-3.46";"-5.69";"-29.50"
"BAT";"Basic Attention Token";"Coin";"3808.83975127";"550.28";"0.00501059";"0.13";"0.000001315517";"0.14447333";"-0.40";"-3.80";"-6.49";"-13.08"
